,Book Name,Author,Rating,Number of Reviews,Price,Rank,Genre,Listening Time (minutes),cleaned_description,cluster
1057,Everybody Loves a Good Drought: Stories from India’s Poorest Districts,P. Sainath,4.6,183.0,1005.0,1,Literary Essays,876.0,acclaimed across world prescribed university college included part the century greatest reportage ordfront alongside work gabriel garcia marquez stud terkel john reed everybody love good drought established classic rural poverty india twenty year publication remains unsurpassed scope depth reportage providing intimate view daily struggle poor effort often ludicrous made uplift,2
1058,O. Henry: Complete Short Stories Collection,O. Henry,4.5,268.5,305.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1059,The Motivation Myth: How High Achievers Really Set Themselves Up to Win,Jeff Haden,4.5,180.0,754.0,716,Personal Success,390.0,from popular columnist counterintuitive highly practical guide finding maintaining motivation achieve great thing,2
1060,"Autobiography Collection: Henry Ford, Nikola Tesla, and Benjamin Franklin",Henry Ford,4.5,268.5,836.0,2,Biographies & Autobiographies (Books),1059.0,this autobiography collection contains my life work the autobiography henry ford my invention the autobiography nikola tesla the autobiography benjamin franklin,2
1061,"12 Months to $1 Million: How to Pick a Winning Product, Build a Real Business, and Become a Seven-Figure Entrepreneur",Ryan Daniel Moran,4.8,201.0,668.0,-1,,486.5,oops it rush hour traffic piling page please try short trying place order processed time go home page continue shopping,4
1062,Never Let Me Go,Kazuo Ishiguro,4.1,2804.0,531.0,-1,,486.5,oops it rush hour traffic piling page please try short trying place order processed time go home page continue shopping,4
1063,A Fistful of Love: Wisdom and Humour from a Monk’s Bowl,Om Swami,4.8,118.0,668.0,2,Buddhism (Books),411.0,wisdom humour monk bowl,2
1064,"Economics, 3rd Edition",Timothy Taylor,4.5,268.5,1405.0,1,Textbooks & Study Guides,1116.0,economic issue active life every day however subject economics come conversation news find longing sophisticated understanding fundamental economics,2
1065,The Kite Runner: CliffsNotes,Richard Wasowski M.A.,4.5,268.5,352.0,2,"Literary Theory, History & Criticism",165.0,the cliffsnotes study guide hosseini the kite runner supplement original literary work giving background information author introduction work critical commentary expanded glossary comprehensive index use educational tool allow better understand work,2
1066,One to Watch: A Novel,Kate Stayman-London,4.6,356.0,1131.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1067,Sachin: The Story of the World's Greatest Batsman,Gulu Ezekiel,3.3,7.0,879.0,933,Biographies of Celebrities & Entertainment Professionals,858.0,at young age sachin tendulkar earned title second youngest man score run international cricket sachin the story world greatest batsman audiobook trace life achievement individual hailed finest batsman world he made run international cricket highest number run scored cricketer he also total international century kitty well,2
1068,Evil Eye,Madhuri Shekar,3.0,1.0,266.0,2,Plays,98.0,evil eye garnered audie award original work,2
1069,Easy Money: The Evolution of Money from Robinson Crusoe to the First World War,Vivek Kaul,4.4,40.0,836.0,2,Textbooks & Study Guides,616.0,a man hears want hear disregard rest wrote singer songwriter paul simon decade back book current financial crisis started late tad like until tended deal certain aspect crisis without looking bigger picture really went wrong that bigger picture ongoing financial crisis started evolve easy money capture big picture,2
1070,30 Days to a More Powerful Vocabulary: The 500 Words You Need to Know to Transform Your Vocabulary...and Your Life,Dan Strutzel,3.7,14.0,656.0,439,Business Careers,468.0,a bigger vocabulary a brighter future,2
1071,"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",Lindsay C. Gibson PsyD,4.8,1523.0,820.0,2,Mental Health (Audible Audiobooks & Originals),410.0,in breakthrough book clinical psychologist lindsay gibson expose destructive nature parent emotionally immature unavailable you see parent create sense neglect discover way heal pain confusion caused childhood by freeing parent emotional immaturity recover true nature control react avoid disappointment finally learn create positive new relationship build better life,2
1072,When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,4.7,2116.0,754.0,-1,,486.5,oops it rush hour traffic piling page please try short trying place order processed time go home page continue shopping,4
1073,When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,4.7,2116.0,754.0,2,Meditation (Audible Audiobooks & Originals),344.0,pema chödrön perennially classic overcoming life difficulty cut heart spirituality personal growth make perfect addition one spiritual library,2
1074,How to Swing Trade,Mr. Brian Pezim,4.6,395.0,668.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1075,Calling Bulls--t: The Art of Scepticism in a Data-Driven World,Jevin D. West,4.6,54.0,888.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1076,The Murder of Roger Ackroyd (Dramatised),Agatha Christie,4.6,15.0,342.0,710,Crime Thrillers,87.0,a bbc radio dramatisation starring john moffatt hercule poirot,2
1077,"Always and Forever, Lara Jean",Jenny Han,4.7,2089.0,820.0,2,Contemporary Romance for Teens,527.0,lara jean day surprise to all boy i loved before i still love you,2
1078,"Being You, Changing the World",Dr. Dain Heer,4.5,69.0,603.0,1,Personal Development & Self-Help,420.0,this different book it written dreamer world people know something different possible never tool this handbook generating infinite possibility dynamic change for and world ten year ago dain heer started chiropractor california usa seemingly successful happy dain heer verge suicide came across access consciousness with modality based question choice heer life began expand grow ease speed even could imagined possible this book way paying forward,2
1079,The Inheritance of Loss,Kiran Desai,3.9,287.0,852.0,2,Historical Fiction (Audible Audiobooks & Originals),812.0,national book critic circle fiction,2
1080,Geronimo Stilton #15 and #16,Geronimo Stilton,5.0,6.0,467.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1081,The Fifth Discipline: The Art and Practice of the Learning Organization,Peter M. Senge,4.6,615.0,753.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1082,Kasturi Kundal Basai,OSHO,4.5,2.0,502.0,2,Personal Development & Self-Help,900.0,kabir par osho par bolte rahe hain keh sakte hain ki kabir unke priy rahe hain kabir ke saddhukkadi vachanon ko samsamayik osho hi bana sakte hain,2
1083,Charlie Munger: The Complete Investor,Tren Griffin,4.2,214.0,670.0,342,Time Management & Productivity,381.0,charlie munger berkshire hathaway visionary vice chairman warren buffett indispensable financial partner outperformed market index belief investor his notion elementary worldly wisdom set interdisciplinary mental model involving economics business psychology ethic management allows keep emotion investment avoid common pitfall bad judgment,2
1084,Then She Was Gone,Lisa Jewell,4.6,7815.0,888.0,2,"Crime, Thriller & Mystery (Books)",613.0,brought penguin,1
1085,Killing Commendatore,Haruki Murakami,4.4,884.0,1093.0,1,Contemporary Fiction (Books),1707.0,random house present audiobook edition killing commendatore haruki murakami read kirby heyborne,3
1086,Unstoppable: My Life So Far,Maria Sharapova,4.7,356.0,683.0,2,Tennis (Books),491.0,penguin present audiobook edition unstoppable fiercely honest fearless darkly funny autobiography global tennis star maria sharapova,3
1087,"The Cruel Prince: The Folk of the Air, Book 1",Holly Black,4.6,2456.0,1063.0,1,"Children's Family, Personal & Social Issues (Books)",756.0,the start thrilling new fantasy series author holly black mortal girl find caught dangerous web royal faerie intrigue,2
1088,Rust in Peace: The Inside Story of the Megadeth Masterpiece,Dave Mustaine,4.2,7.0,500.0,1,Music Books,279.0,featuring foreword slash,2
1089,"The Dark Forest: The Three-Body Problem, Book 2",Cixin Liu,4.6,1493.0,1192.0,1,Fantasy (Books),1384.0,the trisolarian fleet left home world arrive four century time but sophons extradimensional emissary already this motivation wallfacer project defence grant four individual almost absolute power design secret strategy hidden deceit misdirection,2
1090,The Idiot,Fyodor Dostoyevsky,3.9,176.0,1407.0,2,Classic Fiction (Books),1496.0,prince lyov nikolayevitch myshkin one great character russian literature is saint naïve is idealist many general epanchin society feel idiot certainly return petersburg year swiss clinic dramatic effect beautiful aglaia youngest epanchin daughter charismatic willful nastasya filippovna a paint vivid picture russian society dostoyevsky show principle conflict emotion tragic result,2
1091,Quiet Power: Growing Up as an Introvert in a World That Can't Stop Talking,Susan Cain,4.5,243.0,683.0,1,Teen & Young Adult,374.0,the highly anticipated sensational best seller quiet empowering introverted child teen young adult,2
1092,101 Essays That Will Change the Way You Think,Brianna Wiest,4.6,104.0,586.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1093,As the Crow Flies,Jeffrey Archer,4.6,1446.0,323.0,2,Historical Fiction (Audible Audiobooks & Originals),1242.0,if dream big enough even enemy stop,2
1094,India's Most Fearless 2: More Military Stories of Unimaginable Courage and Sacrifice,Shiv Aroor,4.8,457.0,879.0,2,Literary Essays,607.0,untold account biggest recent operation,2
1095,"Curse of the Arctic Star: Nancy Drew Diaries, Book 1",Carolyn Keene,4.5,64.0,305.0,2,Action & Adventure Mysteries for Children,215.0,dear diary bess george i actually alaska everywhere look massive mountain sparkling water we maiden voyage arctic star luxury cruise ship old friend becca wright assistant cruise director need help she received threatening email even setting sail bloody body turned swimming pool and chandelier came crashing dining room thought arctic star may cursed there many passenger onboard i know begin but i better hurry i act fast might everyone final fatal voyage,2
1096,True Love: A Practice for Awakening the Heart,Thich Nhat Hanh,4.8,577.0,377.0,2,Buddhist Philosophy & Practice,88.0,love might think we seek happiness come loving loved yet often find dissatisfied relationship unable grasp cause thich nhat hanh show way overcome recurrent obstacle love learning mindful open present others a explains training needed order love properly able give happiness joy must practice deep looking directed toward person love because understand person love properly understanding essence love,2
1097,Vetaal & Vikram: Stories of the Undead,Gayathri Prabhu,4.3,4.0,501.0,1,Short Stories (Books),286.0,this riddle end two way speech defeat silence death,2
1098,The Monogram Murders: The New Hercule Poirot Mystery,Sophie Hannah,3.5,1330.0,13345.0,2,Literary Fiction,673.0,since publication first novel two billion copy agatha christie book sold around globe now first time ever guardian legacy approved novel featuring dame agatha beloved creation hercule poirot,2
1099,Utopia for Realists,Rutger Bregman,4.7,518.0,569.0,2,Textbooks & Study Guides,392.0,we live time unprecedented upheaval technology progress made u richer uncertain ever we question future society work happiness family money yet political party right left providing u answer so time seem coming end looked economist help u define quality necessary create successful society,2
1100,"Kashi: Kaale Mandir Ka Rahasya (Harappa, Book 3)",Vineet Bajpai,4.3,78.0,836.0,3,"Myths, Legends & Sagas",644.0,kashi secret black temple part harappa series written vineet bajpai it fiction novel blend mythology history thriller,2
1101,The Science of Storytelling,Will Storr,4.5,209.0,1172.0,2,Screenwriting,411.0,how master storyteller compel u there many attempt understand make good story used scientific approach in the science storytelling will storr applies dazzling psychological research neuroscience myth archetype show tell better story revealing among thing storyteller also brain create world attuned moment unexpected change,2
1102,Golden Son: Book II of the Red Rising Trilogy,Pierce Brown,4.7,2954.0,1055.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1103,The Day of the Jackal,Frederick Forsyth,4.5,822.0,820.0,2,Contemporary Fiction (Books),782.0,one celebrated thriller ever written the day jackal electrifying story anonymous englishman spring hired colonel marc rodin operation chief o assassinate general de gaulle,2
1104,The Path Made Clear: Discovering Your Life's Direction and Purpose,Oprah Winfrey,4.6,1501.0,323.0,2,Christianity (Books),175.0,in latest book the path made clear oprah share see guide activating deepest vision offering framework creating life success one significance the book chapter organised help recognise important milestone along road laying really need order achieve personal contentment life detour teach u,2
1105,"Zen Mind, Beginner's Mind: Informal Talks on Zen Meditation and Practice",Shunryu Suzuki,4.6,874.0,515.0,2,Philosophy (Audible Audiobooks & Originals),178.0,in beginner mind many possibility expert so begin beloved american zen work seldom small handful word provided teaching rich famous opening line shunryu suzuki classic in single stroke simple sentence cut pervasive tendency student getting close zen completely miss an instant teaching first minute and beginning,2
1106,"Sleep Smarter: 21 Essential Strategies to Sleep Your Way to a Better Body, Better Health, and Bigger Success",Shawn Stevenson,4.6,773.0,668.0,483,Textbooks & Study Guides,396.0,when come health one criminally overlooked element sleep good sleep help shed fat good stave disease stay productive improve virtually every function mind body that shawn stevenson learned degenerative bone disease crushed dream becoming professional athlete like many u gave health body decided must better way through better sleep optimized nutrition stevenson healed body also achieved fitness business goal never thought possible,2
1107,At Home: A Short History of Private Life,Bill Bryson,4.6,1576.0,797.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1108,"Venture Deals, 4th Edition: Be Smarter than Your Lawyer and Venture Capitalist",Brad Feld,4.8,91.0,703.0,391,Business & Economics,664.0,how venture capital deal come together this one frequent question asked generation new entrepreneur surprisingly little reliable information subject no one understands better brad feld jason mendelson,2
1109,Start-Up Nation: The Story of Israel's Economic Miracle,Dan Senor,4.5,628.0,844.0,2,Economic Conditions (Audible Audiobooks & Originals),504.0,with savvy foreign policy insider senor singer examine lesson country culture flattens hierarchy elevates informality backed government policy focused innovation in world economy diverse ireland singapore dubai tried israel effect entrepreneurial lesson well worth noting a america reboots economy spirit never better time look remarkable resilient nation impressive surprising clue,2
1110,Genome,Matt Ridley,4.5,391.0,793.0,1,Biology Books,867.0,popular scientist matt ridley renowned much accessibility learning following success the red queen the origin virtue genome sunday time top best seller guardian book year,2
1111,Dawood's Mentor,Hussain Zaidi,4.1,106.0,879.0,1,True Accounts (Books),452.0,tired bullied scrawny impoverished dawood ibrahim looking saviour khalid khan bachcha would teach rope handling bunch hooligan instead get mentor eventually transforms cunning mafia bos,2
1112,Joy at Work: The Life-Changing Magic of Organising Your Working Life,Marie Kondo,4.3,73.0,323.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1113,"FAKE: Fake Money, Fake Teachers, Fake Assets: How Lies Are Making the Poor and Middle Class Poorer",Robert T. Kiyosaki,4.5,767.0,586.0,-1,,486.5,robert kiyosaki author personal finance book time built legacy around simplifying complex subject like money investing he continues challenge conventional wisdom asks question help listener sift today information overload uncover way assess real and use truth fact foundation taking control financial life,2
1114,Hopeless,Colleen Hoover,4.6,9230.0,836.0,2,Romance (Books),754.0,would rather know truth make feel hopeless keep believing lie beloved bestselling author colleen hoover return spellbinding story two young people devastating past embark passionate intriguing journey discover lesson life love trust healing power truth bring,2
1115,"Memories, Dreams, Reflections",C. G. Jung,4.7,462.0,1226.0,2,Biographies & Autobiographies (Books),1011.0,i understand light inner happening it make singularity life autobiography deal carl gustav jung,2
1116,India Moving: A History of Migration,Chinmay Tumbe,4.5,16.0,879.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1117,The Origins of Political Order: From Prehuman Times to the French Revolution,Jonathan Davis,4.6,324.0,1338.0,2,United States Politics & Government,1354.0,virtually human society organized tribally yet time developed new political institution included central state could keep peace uniform law applied citizen some went create government accountable constituent we take institution granted absent unable function many today developing often disastrous consequence rest world,2
1118,Red Rising,Pierce Brown,4.6,5271.0,1172.0,787,Science Fiction (Books),972.0,darrow red member lowest caste society future like fellow red work day believing people making surface mar livable future generation yet spends life willingly knowing blood sweat one day result better world child but darrow kind betrayed soon discovers humanity reached surface generation ago vast city sprawling park spread across planet,2
1119,Stress and Your Body,Robert Sapolsky,4.5,268.5,1171.0,2,Biology Books,739.0,feeling stressed,2
1120,Factfulness - Hvordan den moderne verden virkelig skal forstås,Anna Rosling Rönnlund,4.5,268.5,300.0,2,Textbooks & Study Guides,424.0,factfulness handler om verden og hvordan vi kan blive bedre til forstå den som den virkelig er,2
1121,Smarter Faster Better: The Secrets of Being Productive,Charles Duhigg,4.5,723.0,752.0,1,Business Decision Making & Problem Solving,622.0,in international best seller the power habit pulitzer journalist charles duhigg explained in smarter faster better applies relentless curiosity rigorous reporting rich storytelling explain get better thing the result groundbreaking exploration science productivity,2
1122,Thank You for Being Late: An Optimist's Guide to Thriving in the Age of Accelerations,Thomas L. Friedman,4.5,1276.0,820.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1123,Thank You for Being Late: An Optimist's Guide to Thriving in the Age of Accelerations,Thomas L. Friedman,4.5,1276.0,820.0,2,Globalisation,1187.0,penguin present unabridged downloadable audiobook edition thank you being late thomas friedman narrated oliver wyman,3
1124,"Corporate Finance: The Ultimate Guide to Financial Reporting, Business Valuation, Risk Management, Financial Management, and Financial Statements",Greg Shields,4.7,8.0,836.0,703,Education (Books),751.0,if want learn corporate finance feel like reading boring textbook keep reading,2
1125,The Quality of Madness,Tim Rich,4.8,132.0,759.0,1,Biographies & Autobiographies (Books),647.0,marcelo bielsa one football greatest eccentric greatest first english biography one football contradictory character a definitive comprehensive biography growing argentina military dictatorship reviving stricken power leeds united,2
1126,The Foundation Trilogy (Dramatized),Isaac Asimov,4.6,398.0,140.0,1,Science Fiction (Books),469.0,the opening episode begin trantor capital galactic empire meeting seldon dornick trial exile terminus the action jump forward year first seldon crisis repercussion recent independence four kingdom periphery felt terminus handled first mayor salvor hardin the scene move forward year mayor hardin face domination nearby powerful kingdom anacreon,2
1127,Underworld: The Mysterious Origins of Civilization,Graham Hancock,4.5,198.0,1338.0,110,Earth Sciences Books,1893.0,from graham hancock author fingerprint god come mesmerizing book take u captivating underwater voyage find ruin lost civilization hidden thousand year beneath world ocean,2
1128,The P.G. Wodehouse Collection,P. G. Wodehouse,4.4,137.0,422.0,2,"Crime, Thriller & Mystery (Books)",942.0,this title includes entire audiobook right ho jeeves also wodehouse title current classic tale library it also includes jeeves short story available collection extricating young gussie the complete running time hour here list title leave it to jeeves jeeves unbidden guest the aunt sluggard death excelsior jeeves egg jeeves springtime the man upstairs jeeves chump cyril jeeves take charge deep water the man who disliked cat extricating young gussie right ho jeeves unabridged novel seven hour length all title remastered never sounded better,2
1129,"The Unicorn Project: A Novel About Developers, Digital Disruption, and Thriving in the Age of Data",Gene Kim,4.6,605.0,836.0,2,Industries,744.0,the phoenix project wowed reader now come the unicorn project,2
1130,Biomimicry: Innovation Inspired by Nature,Janine M. Benyus,4.4,215.0,14828.0,1,Economics (Audible Audiobooks & Originals),895.0,this valuable entertaining new york time book review book explores scientist adapting nature best idea solve tough problem,2
1131,The Interpretation of Dreams,Sigmund Freud,3.6,18.0,1682.0,2,Psychology (Audible Audiobooks & Originals),1549.0,the interpretation dream sigmund freud one significant book century though dream role human consciousness continuing thread religion art life century freud look subject prism emerging practice study psychoanalysis provided startlingly new challenging perspective first published german sold slowly following decade revised expanded response experience working patient reviewing dream discussion debate colleague it translated numerous language,2
1132,The Curious Incident of the Dog in the Night-Time (Unabridged),Mark Haddon,4.5,5424.0,888.0,1,Family Life Fiction,359.0,the dog lying grass middle lawn front mr shear house it looked running side way dog run think chasing cat dream but dog running asleep the dog dead there garden fork sticking dog,2
1133,Peppa Pig: Dentist Trip and Other Audio Stories,Ladybird,4.5,268.5,410.0,1,Children's Literature & Fiction (Books),23.0,peppa pig come audio,2
1134,Get Better at Getting Better,Chandramouli Venkatesan,4.4,133.0,879.0,-1,,486.5,oops it rush hour traffic piling page please try short trying place order processed time go home page continue shopping,4
1135,Get Better at Getting Better,Chandramouli Venkatesan,4.4,133.0,879.0,3,Analysis & Strategy,365.0,what make people succeed why people succeed others struggle despite working hard,2
1136,The Hate U Give,Angie Thomas,4.8,7015.0,645.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1137,What Happens Next? Conversations from MARS,Adam Savage,4.5,268.5,0.0,28,Astronomy (Audible Audiobooks & Originals),170.0,the innovative mind science technology reveal vision future life earth beyond,2
1138,The Story of My Life,Helen Keller,4.4,971.0,501.0,2,Anthologies (Books),262.0,helen keller overcame seemingly insurmountable obstacle deafness blindness become icon perseverance respected honored reader historian activist her autobiography the story my life published united state still read today ability motivate reassure reader,2
1139,Her Last Wish,Ajay K. Pandey,4.6,1903.0,668.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1140,Chariots of the Gods,Erich von Daniken,4.3,2739.0,668.0,2,World History (Audible Audiobooks & Originals),355.0,erich von däniken chariot god work monumental importance first book introduce shocking theory ancient earth visited alien this best seller withstood test time inspiring countless book film including author popular sequel the eye sphinx but began däniken startling theory earliest encounter alien world based upon lifelong study ancient ruin lost city potential spaceports myriad hard scientific fact point extraterrestrial intervention human history most incredible however von däniken theory descendent galactic pioneer archaeological discovery prove,2
1141,"Not a Penny More, Not a Penny Less",Jeffrey Archer,4.4,1008.0,323.0,1,Psychological Thrillers,452.0,do get mean get even one million dollar harvey metcalfe lifelong king shady deal pulled empty promise oil bonanza instant rich overnight four men heir earldom harley street doctor bond street art dealer oxford find penniless but time harvey swindled wrong men they band together shadow casino monte carlo window ascot hallowed lawn oxford their plan simple sting crook exactly lost penny penny less,2
1142,If God Was a Banker,Ravi Subramanian,4.1,222.0,668.0,2,Literature & Fiction (Books),555.0,two young manager graduate nothing similar family background temperament join new york international bank day take entirely different route success,2
1143,Sita Ke Paanch Nirnay [Sita or Five Decisions],Devdutt Pattanaik,4.1,57.0,233.0,2,Short Stories (Books),90.0,this collection best story selected nobel prize winner rabindranath tagore,2
1144,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,6023.0,683.0,2,"Food, Drink & Entertaining (Books)",356.0,now netflix series winner fortnum mason best debut food book sunday time food book year new york time best seller,2
1145,Happy: Why More or Less Everything Is Absolutely Fine,Derren Brown,4.4,903.0,1093.0,1,Textbooks & Study Guides,872.0,brought penguin,1
1146,One Good Deed,David Baldacci,4.5,2853.0,323.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1147,"The Google Resume: How to Prepare for a Career and Land a Job at Apple, Microsoft, Google, or any Top Tech Company",Gayle Laakmann McDowell,4.4,88.0,668.0,2,Analysis & Strategy,488.0,the google resume book available win coveted spot google microsoft apple top tech firm gayle laakmann mcdowell worked google engineering three year served hiring committee interviewed candidate she interned microsoft apple interviewed received offer tech firm if student learn study prepare school well career path consider if job seeker get edge competition learning hiring procedure making stand candidate,2
1148,The World: A Brief Introduction,Richard Haass,4.6,376.0,1005.0,2,World History (Audible Audiobooks & Originals),624.0,new york time best seller,2
1149,Introduction - Welcome to The Art of Happiness,Benjamin Bonetti,3.9,8.0,0.0,36,Personal Success,0.0,the art happiness ben bonetti series tailored help set mind living longer happier life with year experience development ben helped million change life better,2
1150,Being Different: An Indian Challenge to Western Universalism,Rajiv Malhotra,4.7,308.0,1003.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1151,Get the Guy,Matthew Hussey,4.5,1565.0,888.0,-1,,486.5,this audiobook single woman waiting created hottest dating coach scene matthew hussey offer clear honest practical advice woman find ideal man importantly keep using simple step matthew guide u complex maze dating show u find guy get guy keep guy,2
1152,"The Visitor: Jack Reacher, Book 4",Lee Child,4.5,5134.0,1093.0,-1,,486.5,random house present audiobook edition the visitor lee child read jeff harding,3
1153,"The Visitor: Jack Reacher, Book 4",Lee Child,4.5,5134.0,1093.0,2,Mysteries,857.0,random house present audiobook edition the visitor lee child read jeff harding,3
1154,Tim Cook: The Genius Who Took Apple to the Next Level,Leander Kahney,4.2,137.0,820.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1155,Data Science for Dummies: 2nd Edition,Lillian Pierson,4.2,61.0,703.0,-1,,486.5,job data science abound people data science skill needed fill increasingly important role data science dummy perfect starting point it professional student want quick primer area expansive data science space with focus business case book explores topic big data data science data engineering three area combined produce tremendous value if want skill need begin new career initiate new project listening book help understand technology programming language mathematical method focus,2
1156,Sahir Ludhiyanvi,Sahir Ludhiyanvi,4.5,268.5,233.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1157,Roll of the Dice: Duryodhana's Mahabharata,Anand Neelakantan,5.0,1.0,1003.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1158,"The Flavour of Spice: Journeys, Stories, Recipes",Marryam H Reshii,4.4,49.0,668.0,2,"Food, Drink & Entertaining (Books)",551.0,a book celebrates spice integral way shape eat,2
1159,How the Sea Became Salty,Sudha Murty,4.4,194.0,200.0,1,Children's Traditional Stories (Books),10.0,a long long time ago seawater sweet drinkable how became salty remarkable story,2
1160,Finish: Give Yourself the Gift of Done,Jon Acuff,4.7,525.0,754.0,2,Personal Success,298.0,from new york time author jon acuff book want relief always starting never done,2
1161,Ask and It Is Given: Learning to Manifest Your Desires,Esther Hicks,4.5,268.5,668.0,3,Personal Development & Self-Help,411.0,sunlight beginning spill across malibu coastline i begin preface and deep indigo tint pacific ocean time morning seems match depth pleasure i feeling i imagining value receive revelation within book,2
1162,Emergency Chronicles: Indira Gandhi and Democracy's Turning Point,Gyan Prakash,4.6,23.0,502.0,-1,,486.5,oops it rush hour traffic piling page please try short trying place order processed time go home page continue shopping,4
1163,"Exponential Organizations: New Organizations Are Ten Times Better, Faster, and Cheaper Than Yours (and What to Do About It)",Salim Ismail,4.7,564.0,836.0,2,Business Management,671.0,in business performance key in performance organize key growth in past five year business world seen birth new breed company exponential organization revolutionized company accelerate growth using technology an exo eliminate incremental linear way traditional company get bigger leveraging asset like community big data algorithm new technology achieving performance benchmark time better peer three luminary business world salim ismail yuri van geest mike malone researched phenomenon documented characteristic exponential organization here exponential organization walk listener company startup multinational become exo streamline performance grow next level,2
1164,"Life, the Universe, and Everything",Douglas Adams,4.6,203.0,323.0,2,Contemporary Fiction (Books),344.0,in consequence number stunning catastrophe arthur dent surprised find living hideously miserable cave prehistoric earth however think thing get possibly worse suddenly he discovers galaxy big bewildering also thing happen staggeringly unfair,2
1165,Learn Spanish - Word Power 101: Absolute Beginner Spanish #6,Innovative Language Learning,3.4,716.0,0.0,-1,",            5 star,          ,            ,              37%,            ,",58.0,master spanish learn spanish word power this audiobook completely new way learn spanish vocabulary fast free start speaking spain spanish minute powerful learning method master audiobook,2
1166,Stop Smoking with Allen Carr: Plus a Unique 70 Minute Seminar Delivered by the Author,Allen Carr,4.1,17.0,569.0,3,Personal Development & Self-Help,342.0,ideal listening car whilst traveling new updated version globally book the easy way stop smoking also includes unique minute seminar delivered author,2
1167,Yes Please,Amy Poehler,4.3,3158.0,323.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1168,How to Enjoy Your Life and Your Job,Dale Carnegie,4.3,306.0,668.0,1,Personal Development & Self-Help,333.0,even love work probably day almost nothing go right author dale carnegie show make every day exciting rewarding get done fun,2
1169,Words That Change Minds: The 14 Patterns for Mastering the Language of Influence,Shelle Rose Charvet,4.4,568.0,668.0,2,Analysis & Strategy,598.0,learn master influential language get want without manipulating,2
1170,"67 Hot Explicit Erotic Sex Stories: Swingers, BDSM, Spanking, Bisexual, Paranormal Threesomes, BBW Erotica, Lesbian First Time, Medical, Gangbangs and Much More...",Ashley Winters,4.0,5.0,1003.0,741,Erotic Fiction,1368.0,in hot enticing mega collection filled filthy erotic story experience swinger werewolf bdsm spanking vampire bisexual l paranormal threesome big beautiful woman erotica lesbian first time medical gangbangs much much,2
1171,"Magnus Chase and the Ship of the Dead: Magnus Chase, Book 3",Rick Riordan,4.7,1871.0,888.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
1172,"Lead with a Story: A Guide to Crafting Business Narratives That Captivate, Convince, and Inspire",Paul Smith,4.3,170.0,836.0,1,Organisational Behaviour,651.0,storytelling come age business world today many successful company use storytelling leadership tool at nike senior executive designated corporate storyteller banned bullet point year ago replaced process writing strategic narrative procter gamble hired hollywood director teach executive storytelling technique some business school even added storytelling course management curriculum the reason simple story ability engage audience way logic bullet point alone never could whether trying communicate vision sell idea inspire commitment storytelling powerful business tool mean difference mediocre result phenomenal success,2
1173,Power vs. Force: The Hidden Determinants of Human Behavior,Dr. David R. Hawkins,4.6,298.0,1148.0,1,Textbooks & Study Guides,490.0,analyzing basic nature human thought consciousness author make available everyone key penetrating last barrier advancement civilization science resolving crucial human dilemma instantly determine truth falsehood statement supposed fact,2
1174,The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,4.8,3504.0,1338.0,1,African American Demographic Studies,1360.0,national book critic circle award nonfiction,2
1175,The Leadership Sutra: An Indian Approach to Power,Devdutt Pattanaik,4.5,38.0,233.0,2,Leadership,159.0,durga goddess power hinduism well buddhism jainism her name derived word fortress durg she goddess king she ride lion king jungle symbol royalty everywhere china england,2
