Book Name,Author,Description,Rating,Number of Reviews,Price,Rank,Genre,Listening Time (minutes)
The Everything Store,Brad Stone,Winner of the 2013 Financial Times and Goldman Sachs Business Book of the Year Award.,4.5,2133.0,888.0,5,Commerce,780.0
"Daughters of the Sun: Empresses, Queens and Begums of the Mughal Empire",Ira Mukhoty,"In 1526, when the nomadic Timurid warrior-scholar Babur rode into Hindustan, his wives, sisters, daughters, aunts and distant female relatives travelled with him. These women would help establish a dynasty and empire that would rule India for the next 200 years and become a byword for opulence and grandeur. ",4.5,96.0,836.0,366,Biographies of Royalty,788.0
Salman Rushdie: Audible Sessions: FREE Exclusive Interview,Salman Rushdie,"Joining us in the Audible Studios to talk about his 13th novel, The Golden House, is critically acclaimed British-Indian novelist and writer Sir Salman Rushdie. ",3.5,3.0,0.0,17,Biographies of Authors,30.0
The Vault of Vishnu,Ashwin Sanghi,"A Pallava prince travels to Cambodia to be crowned king, carrying with him secrets that will be the cause of great wars many centuries later.",4.4,698.0,836.0,224,Epic Fantasy,602.0
Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"A fascinating exploration of how computer algorithms can be applied to our everyday lives, helping to solve common decision-making problems and illuminate the workings of the human mind. ",4.5,809.0,1005.0,578,Science,710.0
Turning Points: A Journey Through Challenges,A.P.J. Abdul Kalam,"It was like any other day on the Anna University campus in Chennai. I had delivered a lecture, 'Vision to Mission', and the session got extended from one hour to two. I had lunch with a group of research students and went back to class. ",4.6,985.0,668.0,692,Biographies & Autobiographies (Books),336.0
One Hundred Years of Solitude,Gabriel García Márquez,Includes a bonus PDF with a character chart! ,2.4,7.0,1069.0,118,Classic Fiction (Books),844.0
A Course in Meditation: A 21-Day Workout for Your Consciousness,Osho,A 21-day course for modern meditators,4.9,30.0,754.0,267,"Mind, Body & Spirit",298.0
Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,Why do smart people make irrational decisions every day? The answers will surprise you. ,4.5,2130.0,5709.0,2,Textbooks & Study Guides,444.0
War and Peace,Leo Tolstoy,"Often called the greatest novel ever written, War and Peace is at once an epic of the Napoleonic wars, a philosophical study, and a celebration of the Russian spirit. Tolstoy's genius is clearly seen in the multitude of characters in this massive chronicle, all of them fully realized and equally memorable. Out of this complex narrative emerges a profound examination of the individual's place in the historical process, one that makes it clear why Thomas Mann praised Tolstoy for his Homeric powers and placed War and Peace in the same category as The Iliad.",4.2,102.0,1406.0,440,Classic Literature,3666.0
War and Peace,Leo Tolstoy,Tolstoy's finest literary achievement.,4.4,1148.0,1406.0,4,Classic Fiction (Books),4010.0
Grit: The Power of Passion and Perseverance,Angela Duckworth,"PLEASE NOTE: When you purchase this title, the accompanying reference material will be available in your My Library section along with the audio.",4.5,268.5,888.0,306,Personal Success,561.0
Crime and Punishment,Fyodor Dostoevsky,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",4.4,2768.0,1338.0,343,Classic Literature,1228.0
A History of India,Michael H. Fisher,"Over 5,000 years, India has been home to a rich tapestry of peoples and cultures. Two of the world's great religions - Hinduism and Buddhism - have their origins in South Asia, and the lands east of the Indus River have long been a central hub for trade, migration, and cultural exchange. Today the subcontinent contains 20 percent of the world's population and is a thriving center for global business, making this region one of most significant economic powerhouses in the world. ",4.5,268.5,1405.0,683,Textbooks & Study Guides,1102.0
Timeless Tales for Kids,E. Nesbit,Timeless Tales for Kids is an enchanting compilation of children's classic stories read by an all-star cast. ,4.5,268.5,721.0,-1,",          5 star,        ,          (0%),        ,          ,            0%,          ,",616.0
Metamorphosis: A BBC Radio 4 Reading,Franz Kafka,"Benedict Cumberbatch reads Franz Kafka's famous story of man-turned-insect, Metamorphosis.",4.5,64.0,615.0,604,Classic Fiction (Books),98.0
I Too Had a Love Story,Ravinder Singh,Do love stories ever die? How would you react when a beautiful person comes into your life and then goes away from you...forever? ,4.5,2865.0,703.0,337,Romance (Books),388.0
"Emotional Intelligence, 10th Edition",Daniel Goleman,"Everyone knows that high IQ is no guarantee of success, happiness, or virtue, but until Emotional Intelligence, we could only guess why. Daniel Goleman's brilliant report from the frontiers of psychology and neuroscience offers startling new insight into our “two minds” - the rational and the emotional - and how they together shape our destiny.  ",4.5,268.5,836.0,92,Textbooks & Study Guides,808.0
The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer,Spiritual teacher Michael A. Singer explores the question of human identity and shows how the development of consciousness can enable us all to dwell in the present moment and achieve happiness and self-realization. ,4.7,8026.0,820.0,261,Meditation (Books),371.0
Psycho-Cybernetics: Updated and Expanded,Maxwell Maltz,"Cybernetics (loosely translated from the Greek): ""a helmsman who steers his ship to port"". Psycho-cybernetics is a term coined by Dr. Maxwell Maltz that means ""steering your mind to a productive, useful goal so you can reach the greatest port in the world: peace of mind"". ",4.7,336.0,1131.0,644,Personal Development & Self-Help,736.0
The War of Art,Steven Pressfield,Think of The War of Art as tough love...for yourself.,4.5,5127.0,233.0,168,Personal Development & Self-Help,149.0
"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday,"From the team that brought you The Obstacle Is the Way and Ego Is the Enemy, a beautiful daily devotional of Stoic meditations. ",4.7,2211.0,388.0,308,Business Motivation & Self-Improvement,606.0
Death on the Nile: Poirot,Agatha Christie,"An all-new digital audio edition of Death on the Nile narrated by Kenneth Branagh, director and star of 20th Century Studios’ upcoming Death on the Nile feature film, in cinemas this October. ",4.6,1105.0,8062.0,878,Classic Fiction (Books),492.0
Breaking the Habit of Being Yourself,Joe Dispenza,"You are not doomed by your genes and hardwired to be a certain way for the rest of your life. A new science is emerging that empowers all human beings to create the reality they choose. In Breaking the Habit of Being Yourself, renowned author, speaker, researcher, and chiropractor Dr. Joe Dispenza combines the fields of quantum physics, neuroscience, brain chemistry, biology, and genetics to show you what is truly possible.",4.7,3667.0,836.0,297,Personal Success,649.0
"The 1-Page Marketing Plan: Get New Customers, Make More Money, And Stand Out From The Crowd",Allan Dib,Warning: do not listen to this book if you hate money. ,4.7,1730.0,668.0,411,Marketing (Audible Audiobooks & Originals),392.0
"The Body Keeps the Score: Mind, Brain and Body in the Transformation of Trauma",Bessel van der Kolk,Brought to you by Penguin.,4.8,8278.0,1093.0,776,Psychology (Audible Audiobooks & Originals),976.0
The Easy Way to Stop Smoking,Allen Carr,"Although so many guides to quitting smoking can feel patronizing or seem to ask too much, Allen Carr's unique approach has proved successful countless times. It is clear, easy to follow and genuinely motivational. ",4.6,2376.0,569.0,545,Personal Development & Self-Help,359.0
Bad Blood,John Carreyrou,A New York Times best seller.,4.7,4679.0,323.0,340,Business & Careers,696.0
Die Empty: Unleash Your Best Work Every Day,Todd Henry,"Most of us live with the stubborn idea that we'll always have tomorrow to do our most important and valuable work. We fill our days with frantic activity, bouncing from task to task, scrambling to make deadlines and chase the next promotion. But by the end of each day we're often left asking ourselves ""did the work I do today really matter?"" We feel the ticking of the clock, but we're stuck in first gear, unsure of the path forward and without a road map to guide us. ",4.3,291.0,656.0,185,Business Motivation & Self-Improvement,330.0
Your Wish Is My Command: Love in Times of Tinder,Shanaya Taneja,"Go on an exciting hiking journey in the hills with a very passionate couple who lose themselves, not on the way to the hills, but on the way to fulfil their hidden deep desires. Their intense love erases all boundaries of exploration, even if it’s in an isolated cave on a hill.",4.0,2.0,0.0,15,Contemporary Romance (Audible Audiobooks & Originals),24.0
The Silk Roads: A New History of the World,Peter Frankopan,"The sun is setting on the Western world. Slowly but surely, the direction in which the world spins has reversed: where for the last five centuries the globe turned westward on its axis, it now turns to the east.... For centuries fame and fortune were to be found in the West - in the New World of the Americas. Today it is the East that calls out to those in search of adventure and riches. The region stretching from Eastern Europe and sweeping right across Central Asia, deep into China and India, is taking center stage in international politics, commerce, and culture - and is shaping the modern world. This region, the true center of the Earth, is obscure to many in the English-speaking world. Yet this is where civilization itself began, where the world's great religions were born and took root. The Silk Roads were no exotic series of connections but networks that linked continents and oceans together. Along them flowed ideas, goods, disease, and death. This was where empires were won - and where they were lost. As a new era emerges, the patterns of exchange are mirroring those that have criss-crossed Asia for millennia. The Silk Roads are rising again. A major reassessment of world history, The Silk Roads is an important account of the forces that have shaped the global economy and the political renaissance in the reemerging East. ",4.6,1793.0,1338.0,665,Textbooks & Study Guides,1454.0
Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,"Audie Award Finalist, Business/Educational, 2014",4.5,855.0,836.0,662,Social Sciences (Audible Audiobooks & Originals),648.0
Unlearn: 101 Simple Truths for a Better Life,Humble the Poet,"Influencer, rapper and spoken word artist Humble the Poet is here to revolutionise your life and help you reach your full potential.",4.7,679.0,5373.0,364,Psychology (Audible Audiobooks & Originals),235.0
Circe,Madeline Miller,Shortlisted for the Women's Prize for Fiction 2019,4.5,6560.0,721.0,517,Literary Fiction,728.0
Super Attractor: Methods for Manifesting a Life Beyond Your Wildest Dreams,Gabrielle Bernstein,Ready to turn what you want into the life that you live? The number-one New York Times best-selling author of The Universe Has Your Back shows you how. ,4.7,1681.0,1003.0,252,"Mind, Body & Spirit",385.0
The Five Love Languages: The Secret to Love That Lasts,Gary Chapman,"Dr. Gary Chapman identifies five basic languages of love and then guides couples towards a better understanding of their unique languages of love. Learn to speak and understand your mate's love language, and in no time you will be able to effectively love and truly feel loved in return. Skillful communication is within your grasp!",4.8,16390.0,656.0,527,Love & Romance,286.0
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Michael E. Gerber,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",4.6,3021.0,11862.0,416,Entrepreneurship (Audible Audiobooks & Originals),485.0
10 Minutes 38 Seconds in This Strange World,Elif Shafak,Shortlisted for the Booker Prize 2019,4.5,520.0,752.0,221,Political Fiction,551.0
"Inspired: How to Create Tech Products Customers Love, Second Edition",Marty Cagan,"How do today's most successful tech companies - Amazon, Google, Facebook, Netflix, Tesla - design, develop, and deploy the products that have earned the love of literally billions of people around the world? Perhaps surprisingly, they do it very differently from the vast majority of tech companies. In Inspired, technology product management thought leader Marty Cagan provides listeners with a master class in how to structure and staff a vibrant and successful product organization and how to discover and deliver technology products that your customers will love - and that will work for your business. ",4.6,579.0,668.0,212,New Business Enterprises,465.0
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nassim Nicholas Taleb,"Set against the backdrop of the most conspicuous forum in which luck is mistaken for skill, the world of trading, this audiobook is a captivating insight into one of the least understood factors of all our lives. In an entertaining narrative style, the author succeeds in tackling three major intellectual issues: the problem of induction, the survivorship biases, and our genetic unfitness to the modern word. Taleb uses stories and anecdotes to illustrate our overestimation of causality and the heuristics that make us view the world as far more explainable than it actually is.",4.3,899.0,694.0,888,Personal Finance,603.0
The Wellness Sense: A Practical Guide to Your Physical and Emotional Health Based on Ayurvedic and Yogic Wisdom,Om Swami,"Why do certain foods harm some people and help others? How come the same weight loss program shows different results on different individuals? And why do some people fall sick more often than others? Answers to these questions and many more lie in Ayurveda, where your body is not just looked upon as a holder of flesh and bones but as the finest vehicle of experiencing all pleasures and sorrows. In Ayurveda, as in yoga and tantra, the health of an individual is not just the state of his physical body but an aggregate of the body, senses, mind and soul. Your body is a sacred space; it is the seat of your consciousness.",4.7,105.0,668.0,981,Spirituality (Books),370.0
"The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future",Chris Guillebeau,"In The $100 Startup, Chris Guillebeau tells you how to lead of life of adventure, meaning and purpose - and earn a good living. ",4.1,2119.0,879.0,166,Business Careers,494.0
Tribe of Mentors: Short Life Advice from the Best in the World,Tim Ferriss,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",4.5,1309.0,1338.0,-1,,486.5
Indian Summer: The Secret History of the End of an Empire,Alex von Tunzelmann,"At midnight on 15 August, 1947, India left the British Empire. This defining moment of world history had been brought about by a handful of people: Jawaharlal Nehru, the fiery Indian prime minister; Mohammed Ali Jinnah, leader of the new nation; and Louis and Edwina Mountbatten, despatched to get Britain out of India.",4.4,376.0,1545.0,539,World History (Audible Audiobooks & Originals),876.0
Captain Cool: The MS Dhoni Story,Gulu Ezekiel,"It took just four years for Mahendra Singh Dhoni to transform from a boy from an obscure small town into an icon of Indian sports. The events that made up that tale turned into one of the greatest feel-good stories of recent times, and I felt it needed to be told. ",4.0,60.0,668.0,548,Biographies of Celebrities & Entertainment Professionals,428.0
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,Brought to you by Penguin. ,4.5,8360.0,888.0,233,Textbooks & Study Guides,639.0
Learn French with Innovative Language's Proven Language System - Level 1: Introduction to French: Introduction French #2,Innovative Language Learning,"Congratulations! You have just discovered the fastest and most fun way to learn a language! Are you ready to discover the secret to language learning success? Simply use our program and you will find it. Hundreds of thousands of language learners just like you have already discovered the power of our system. This program offers you a brand new way to learn a language. You'll be speaking from your very first lesson with our fun, easy to use, and innovative method. ",3.0,2.0,0.0,31,French Language Learning,15.0
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,MJ DeMarco,"Has the ""settle-for-less"" financial plan become your plan for wealth? That plan sounds a little something like this: ",4.6,2394.0,836.0,186,Personal Finance,766.0
"Free Interview: Susie Bright Speaks with Paul Bloom, Author of How Pleasure Works",Paul Bloom,"In this excerpt from In Bed with Susie Bright, Susie interviews Yale psychologist Paul Bloom about his fascinating best-selling book How Pleasure Works: The New Science of Why We Like What We Like. Paul and Susie talk about the pleasures of sex and how we perceive them. ",4.5,268.5,0.0,-1,",          5 star,        ,          (0%),        ,          ,            0%,          ,",32.0
Seriously...I'm Kidding,Ellen DeGeneres,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",4.1,1679.0,500.0,-1,,486.5
No Filter: The Inside Story of Instagram,Sarah Frier,Brought to you by Penguin.,4.4,95.0,888.0,289,Forecasting & Strategic Planning,680.0
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,"Sheryl Sandberg - Facebook COO, ranked eighth on Fortune's list of the 50 Most Powerful Women in Business - has become one of America's most galvanizing leaders, and an icon for millions of women juggling work and family. In Lean In, she urges women to take risks and seek new challenges, to find work that they love, and to remain passionately engaged with it at the highest levels throughout their lives. ",4.5,5260.0,879.0,651,Biographies of Business Leaders,387.0
"7 Mindsets for Success, Happiness and Fulfilment",Swami Mukundananda,"Thoughts and feelings that persist over time harden into an attitude. If you live with an attitude long enough, it becomes second nature - a mindset. The wrong mindset could lead you off the path of contentment, joy, enlightenment. The right one will point you to the road to success, to fulfilment and towards an extraordinary life.",4.7,520.0,668.0,432,Personal Success,379.0
Autobiography of a Yogi,Paramhansa Yogananda,"This audiobook, the version of which was first published in 1946, helped launch a spiritual revolution in the West. Only rarely does a sage of Paramhansa Yogananda's stature write a firsthand account of his life experiences. Followers of many religious traditions have come to recognize Autobiography of a Yogi as a masterpiece of spiritual literature. Yet, for all its depth, it is full of gentle humor, lively stories, and practical common sense. Now, with this audiobook, the 1946 edition is again available, with all its inherent power, just as the great master of yoga first presented it.",4.5,268.5,702.0,171,Biographies & Autobiographies (Books),1293.0
Peppa Pig: Once Upon a Time,Ladybird,"A collection of ten newly recorded audio stories based on Peppa Pig, the hit TV show! ",4.8,30.0,342.0,438,Children's Literature & Fiction (Books),59.0
The Great Mental Models: General Thinking Concepts,Shane Parrish,"The old saying goes, ""To the man with a hammer, everything looks like a nail"". But anyone who has done any kind of project knows a hammer often isn't enough. ",4.5,216.0,836.0,335,Leadership,203.0
"Game Changers: What Leaders, Innovators and Mavericks Do to Win at Life",Dave Asprey,"The best-selling author of Head Strong and The Bulletproof Diet answers the question 'how do I kick more ass?' - providing proven techniques for becoming happier, healthier and smarter, culled from the wisdom and insight of world-class thought leaders and mavericks of science and business.",4.7,435.0,8735.0,1,Personal Success,672.0
Mossad: The Greatest Missions of the Israeli Secret Service,Michael Bar-Zohar,"The Mossad is widely recognized today as the best intelligence service in the world. It is also the most enigmatic, shrouded in secrecy. In Mossad, authors MichaelBar-Zohar and Nissim Mishal take us behind the closed curtain with riveting, eye-opening, boots-on-the-ground accounts of the most dangerous, most crucial missions in the agency's 60-year history. These are real Mission: Impossible true stories brimming with high-octane action - from the breathtaking capture of Nazi executioner Adolf Eichmann to the recent elimination of key Iranian nuclear scientists. ",4.6,1850.0,820.0,329,Intelligence & Espionage,874.0
"Heroes: Mortals and Monsters, Quests and Adventures",Stephen Fry,"Enter the monstrous and magical world of Stephen Fry's Sunday Times best seller Heroes, brought to you by Penguin.",4.8,84.0,1093.0,227,Classic Literature,900.0
Coronavirus: A Book for Children,Elizabeth Jenner,"What is the coronavirus, and why is everyone talking about it?",4.5,624.0,0.0,33,Audiobooks on Diseases for Children,17.0
Ten Arguments For Deleting Your Social Media Accounts Right Now,Jaron Lanier,"Random House presents the audiobook edition of Ten Arguments For Deleting Your Social Media Accounts Right Now by Jaron Lanier, read by Oliver Wyman.",4.4,391.0,615.0,194,Technology & Society,283.0
The Handmaid's Tale,Margaret Atwood,Brought to you by Penguin.  ,4.4,15741.0,1093.0,685,Literary Fiction,682.0
Bhartiya Pauranik Kathaein [Indian Mythology],Devdutt Pattanaik,The multi-dimensional aspect of the characters found in the Hindu spiritual world is unlike any other. The Hindu Gods and Goddesses embody both positive as well as negative characteristics. Bhartiya Pauranik Kathaein discusses how these opposing energies are valued equally in the Hindu worldview and how they balance out over time. The book also interprets the meaning behind the various classic Hindu myths in symbolic art. ,3.9,86.0,668.0,245,Hinduism (Books),453.0
Swami Vivekananda: A Biography,Gautam Ghosh,"After so much tapasya, I have understood this as the highest truth: God is present in every being. There is no other God besides that. He who serves all beings serves God indeed.",4.2,35.0,668.0,273,Biographies & Autobiographies (Books),412.0
Syahhashiye Aur Anya Kahaniyan [Syllabus and Other Stories],Saadat Hasan Manto,"‘If you find my stories obscene or filthy, then the society you are living in is obscene and dirty,’ once said Manto. While Manto was time and again accused of obscenity, his stories addressed several social issues. With his astute understanding of the complexity of human nature and his ability to write griping stories, Manto was considered one of the most powerful voices of his time. This collection brings together some of Manto's finest stories including 'Chor', 'Mausam ki Shararat' and 'Paseena'.",4.0,2.0,668.0,889,Short Stories (Books),419.0
Yayaati,Vishnu Sakharam Khandekar,"The story of Yayati is perhaps one of the most intriguing and fascinating episodes of Mahabharata. Yayati was a great scholar and one of the noblest rulers of olden times. He followed the shastras and was devoted to the welfare of his subjects. Even the king of gods, Indra, held him in high esteem. Married to seductively beautiful Devyani, in love with her maid Sharmishtha, and father of five sons from two women, Yayati unabashedly declared, 'My lust for pleasure is unsatisfied'. His quest for the carnal continued, sparing not even his youngest son, and exchanging his old age for his son's youth.",4.4,120.0,1003.0,316,Hinduism (Books),1162.0
"The Yugas: Keys to Understanding Our Hidden Past, Emerging Energy Age and Enlightened Future",Joseph Selbie,"Today's view of history cannot account for ancient anomalies, such as the Pyramids and advanced knowledge contained in India's Vedas. But in 1894, an Indian sage gave us an explanation not only for our hidden past but for the trends of today and for our future enlightenment - the 24,000-year yuga cycle.",4.6,64.0,703.0,502,History of Hinduism,763.0
Jeeves & Wooster: The Collected Radio Dramas,P.G. Wodehouse,"A rollicking collection of s ix acclaimed dramatisations of P.G Wodehouse's Jeeves & Wooster novels, starring Michael Hordern and Richard Briers as Jeeves and Wooster. Also featuring Maurice Denham, Paul Eddington, David Jason, John Le Mesurier, Miriam Margolyes, Jonathan Cecil, Liza Goddard and Patrick Cargill.",4.6,40.0,1093.0,599,Humour (Books),1076.0
The Yoga Sutras of Patanjali,Sri Swami Satchidananda,"Swami Satchidananda's popular translation and commentary of the Yoga Sutras of Patanjali now in unabridged audiobook form, with additional features and bonus tracks included in this 9-1/2 hour program.",4.8,1340.0,668.0,268,Hinduism (Books),570.0
"The Most Beloved Children’s Bedtime Stories: 15 Aesop’s Fables for Kids, The Three Little Pigs, Little Red Riding Hood, Goldilocks and the Three Bears, Snow White and the Seven Dwarfs and Many More",Joanna White,This selection of bedtime stories for children includes the following stories: ,4.5,268.5,501.0,652,"Fairy Tales, Folk Tales & Myths for Children",188.0
Losing My Virginity,Richard Branson,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",4.6,773.0,615.0,1,Analysis & Strategy,325.0
The Gita for Children,Roopa Pai,"It's one of the oldest books in the world and India's biggest blockbuster best seller! But isn't it meant only for religious old people? But isn't it very long? And, erm, super difficult to read? And isn't the stuff it talks about way too complex for regular folks to understand? ",4.5,484.0,668.0,514,Children's Literature & Fiction (Books),470.0
The Brain: The Story of You,David Eagleman,"This is the story of how your life shapes your brain and how your brain shapes your life. Locked in the silence and darkness of your skull, the brain fashions the rich narratives of your reality and your identity. ",4.7,1021.0,683.0,320,Textbooks & Study Guides,336.0
HBR's 10 Must Reads on Communication,Harvard Business Review,The best leaders know how to communicate clearly and persuasively. How do you stack up? ,4.5,129.0,668.0,479,Forecasting & Strategic Planning,419.0
Zak George’s Dog Training Revolution: The Complete Guide to Raising the Perfect Pet with Love,Zak George,"Celebrity dog trainer, YouTube sensation, and Animal Planet star Zak George presents a next-generation guide that uses his infectiously energetic style to teach dog-lovers everything they need to know about raising and training their unique pup. ",4.6,2394.0,820.0,826,Pets & Animal Care (Books),404.0
Matilda: Narrated by Kate Winslet,Roald Dahl,"Penguin presents the audiobook edition of Matilda by Roald Dahl, read by Kate Winslet.",4.7,2250.0,615.0,238,Fiction on Adoption for Children,258.0
Skin in the Game: Hidden Asymmetries in Daily Life,Nassim Nicholas Taleb,Number-one New York Times best seller,4.4,797.0,1005.0,772,Ethics & Morality Philosophy,500.0
The Dutch House,Ann Patchett,Longlisted for the Women's Prize for Fiction 2020,4.4,5864.0,721.0,381,Women's Fiction,593.0
Dune: Il ciclo di Dune 1,Frank P. Herbert,"Arrakis è il pianeta più inospitale della galassia. Una landa di sabbia e rocce popolata da mostri striscianti e sferzata da tempeste devastanti. Ma sulla sua superficie cresce il melange, la sostanza che dà agli uomini la facoltà di aprire i propri orizzonti mentali, conoscere il futuro, acquisire le capacità per manovrare le immense astronavi che garantiscono gli scambi tra i mondi e la sopravvivenza stessa dell'Impero.",4.4,151.0,1073.0,-1,",Standard Italian",1231.0
Half Girlfriend,Chetan Bhagat,"Once upon a time, there was a Bihari boy called Madhav. He fell in love with a girl called Riya. Madhav didn't speak English well. Riya did. Madhav wanted a relationship. Riya didn't. Riya just wanted friendship. Madhav didn't. Riya suggested a compromise. She agreed to be his half girlfriend.",4.2,8188.0,568.0,1,Romance (Books),529.0
"The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to Speed Faster and Smarter",Michael Watkins,The world’s most trusted guide for leaders in transition. ,4.5,277.0,703.0,239,Leadership,418.0
The Truths We Hold: An American Journey,Kamala Harris,"Random House presents the audiobook edition of The Truths We Hold, written and read by Kamala Harris.  ",4.7,540.0,683.0,1,Politics,566.0
The Gene: An Intimate History,Siddhartha Mukherjee,"The Gene is the story of one of the most powerful and dangerous ideas in our history, from best-selling, prize-winning author Siddhartha Mukherjee. ",4.6,1574.0,683.0,315,Medical Ethics (Audible Audiobooks & Originals),1161.0
You Are the Best Wife: A true love story,Ajay K Pandey,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",4.6,4801.0,668.0,-1,,486.5
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,"""The impediment to action advances action. What stands in the way becomes the way."" (Marcus Aurelius)",4.6,1252.0,668.0,751,Personal Success,367.0
This Is Marketing: You Can’t Be Seen Until You Learn to See,Seth Godin,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",4.5,925.0,888.0,-1,,486.5
WordMaster,Denis E. Waitley,"WordMaster uses the science of word order, suggestopedic music, and male/female voices to ensure you get the most in vocabulary building in the least time with minimum effort. ",4.2,48.0,2008.0,244,Education (Books),621.0
I Can't Make This Up: Life Lessons,Neil Strauss - contributor,"Superstar comedian and Hollywood box-office star Kevin Hart turns his immense talent to the written word by writing some words. Some of those words include: the, a, for, above, and even even. Put them together and you have the funniest, most heartfelt, and most inspirational memoir on survival, success, and the importance of believing in yourself since Old Yeller. ",4.7,1610.0,1003.0,964,Personal Success,675.0
The Audacity of Hope (excerpt),Barack Obama,"At the heart of this audiobook is Senator Obama's vision of how we can move beyond our divisions to tackle concrete problems. Underlying his stories about family, friends, members of the Senate, and even the president is a vigorous search for connection: the foundation for a radically hopeful political consensus.",4.4,42.0,0.0,25,Social Sciences (Audible Audiobooks & Originals),4.0
The Montessori Toddler,Simone Davies,This guide offers a step-by-step plan that helps parents cultivate daily routines so that they can turn life with toddlers into a mutually rich time of curiosity and learning.,4.8,2350.0,1172.0,530,Relationships,442.0
Evolve Your Brain: The Science of Changing Your Mind,Joe Dispenza D.C.,"Joe Dispenza, DC, has spent decades studying the human mind - how it works, how it stores information, and why it perpetuates the same behavioral patterns over and over. In the acclaimed film What the Bleep Do We Know!?, he began to explain how the brain evolves - by learning new skills, developing the ability to concentrate in the midst of chaos, and even healing the body and the psyche. Evolve Your Brain presents this information in depth, while helping you take control of your mind, explaining how thoughts can create chemical reactions that keep you addicted to patterns and feelings - including ones that make you unhappy. And when you know how these bad habits are created, it's possible to not only break these patterns, but also reprogram and evolve your brain, so that new, positive, and beneficial habits can take over. ",4.7,534.0,1172.0,449,Neuroscience & Neuropsychology,1117.0
A Killer Among Us: One Murder & a Building Full of Suspects,Ushasi Sen Basu,What can strip away the polite veneer of an apartment complex and lay bare a world of secrets and lies? The discovery of a stranger’s body on its premises. ,4.9,17.0,668.0,839,Mysteries,408.0
Who Moved My Cheese?,Tony Roberts,"Random House presents the audiobook edition of Who Moved My Cheese? by Spencer Johnson, read by Tony Roberts and Karen Ziemba, with an introduction read by Kenneth Blanchard. ",4.6,5925.0,615.0,254,Analysis & Strategy,99.0
Rework,Jason Fried,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",4.3,1975.0,452.0,-1,,486.5
"Unlimited Memory: How to Use Advanced Learning Strategies to Learn Faster, Remember More and be More Productive",Kevin Horsley,Kevin Horsley broke a world memory record in 2013.... ,4.6,1959.0,233.0,26,Healthy Living & Wellness,148.0
1Q84,Haruki Murakami,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",4.3,1437.0,1138.0,-1,,486.5
No Calculator? No Problem!: Mastering Mental Math,Art Benjamin," No calculator? No problem! Whether a listener is prepping for a standardized test or just trying to figure out the check, mathematician Dr. Arthur Benjamin will teach listeners the fundamentals of mental addition, subtraction, multiplication, and division. From there, listeners will turn to the art of ""guess-timation"" for problems that don’t require an exact answer. Listeners will learn:  ",5.0,1.0,1003.0,1,Education (Books),346.0
More of Poirot's Finest Cases: Seven Full-Cast BBC Radio Dramatisations,Agatha Christie,John Moffat stars as the great Belgian detective Hercule Poirot in seven more BBC Radio 4 full-cast dramatisations. ,4.8,12.0,1093.0,452,Short Stories (Books),807.0
Satyajit Ray Ki Kahaniyan [Stories of Satyajit Ray],Satyajit Rai,"Satyajit Ray is well known for his contributions to Indian literature. His short stories often explore the macabre and the supernatural and are often marked by keen characterization. This collection brings together Ray’s best short stories - including such timeless gems as ‘Professor Hijibijbi’, ‘Ratan Babu aur Veh Admi’ and ‘Bhakt’. A collection of 12 short stories.  ",5.0,1.0,668.0,550,Short Stories (Books),492.0
"The Book of Ichigo Ichie: The Art of Making the Most of Every Moment, the Japanese Way",Francesc Miralles,"Learn to make every moment a once-in-a-lifetime experience with this definitive guide to the Japanese art of ichigo ichie, from the best-selling authors of Ikigai. ",4.6,128.0,873.0,379,Personal Development,200.0
